lafz	aeraab	qism	maani_en
کیلو		noun	kilo
آدامس		noun	chewing gum
نرم نرمک		adv	softly, softly
پیچ		noun	screw
پیچ‌گوشتی		noun	screwdriver
رگ		noun	blood vessel; arteries, capillaries or veins.
مواظب	مُواظِب	adj	careful, attentive
پیچک		noun	ivy
رنگین		adj	coloured, colored
ریمل		noun	mascara
قصد		noun	intention, desire, objective
عزر		noun	censuring
قس		noun	pussy, cunt, fanny
قر		noun	twerk, twerking; gyrating one's hips (used for both men and women)
میهن		noun	homeland, native country
پسرک		noun	little boy, lad
گیتی		noun	The Universe
ویژگی	ویژِگی	noun	trait
تره‌فرنگی		noun	leek
شهسوار		noun	knight
تبریک گفتن		verb	to congratulate
خسیس		noun	miser
بی‌رنگ		adj	colourless
سپیده		noun	dawn, first light
کانال		noun	canal (waterway used for transportation of vessels)
آب‌راه		noun	canal (waterway used for transportation of vessels)
بربط		noun	barbat (a type of lute)
لوت		noun	lute
آزاد کردن		verb	to set free
پذیرفتن	پَذیرُفتَن	verb	to accept, to agree with, to embrace
اسلام‌گرا	اِسلامگَرا	noun	Islamist
اسلام‌گرایی		noun	Islamism
فمینیسم		noun	feminism
شهردار		noun	mayor
اعتراض کردن		verb	to protest
مستضعفان		noun	the oppressed, the poor and needy; plural of مستضعف
جانبازان		noun	disabled war veterans of the Iran-Iraq War; plural of جانباز
جانباز		noun	one who would offer up their life
صورت گرفتن		verb	to take place
جوجه		noun	chick (baby bird)
آسمان‌خراش		noun	skyscraper (tall building)
چانه		noun	chin
جناب عالی		pron	you
جاده		noun	road (between towns or areas); thoroughfare
باقلا		noun	broad bean, fava bean (Vicia faba)
شپش		noun	louse
چرخیدن		verb	to rotate, turn, revolve, spin (to move around an axis)
راستگو		adj	truthful
جمع		noun	crowd
سکوت		noun	silence
بنگاه		noun	institute, institution
شغال		noun	jackal
ماهیچه		noun	muscle
عضله		noun	muscle
رودخانه		noun	river
پیشی		noun	precedence
هرتز		noun	hertz
فنر		noun	lantern
قرينة		noun	context
ماژیک		noun	marker, marker pen
آزادی بیان		noun	freedom of speech
آلش		noun	beech (tree of genus Fagus)
ممرز		noun	hornbeam
باور کردن	باوَر کَرْدَن	verb	to believe
بنیان‌گذار		noun	founder
نفرین		noun	curse
امسال		adv	this year
پیازچه		noun	spring onion
تئاتر	تِئاتر	noun	theatre (a collaborative form of performing art)
سقط جنین		noun	abortion
گذرنامه		noun	passport
چرت و پرت		noun	nonsense
جریمه		noun	fine
مک		noun	sucking, suction, intake
استفاده کردن		verb	to use
کاسه		noun	bowl
باستانی		adj	ancient
مزد		noun	wage, pay
رویا		adj	growing
بی‌خوابی		noun	insomnia
گل‌فروش		noun	florist
گل‌فروشی		noun	flower shop
هفت‌سین		noun	Haft Sin, or the Seven S's; the seven items beginning with the letter sin س which are symbolically arranged on a sofreh 
سمنو		noun	samanu (a kind of wheat pudding)
آتش‌بس		noun	ceasefire
ارتش		noun	army
نیرومند		adj	strong
خونین		adj	bloody
راکت	راکِت	noun	rocket
شرق		noun	the east
نژادپرستی		noun	racism
نژادپرست		noun	racist
پاسخ		noun	answer, reply
تاریخدان		noun	historian
یهودستیزی		noun	anti-Semitism
نژادی	نِژادی	adj	racial
پادکست		noun	podcast
شمشیربازی		noun	fencing
سرنوشت		noun	destiny; fate
لذت بردن	لِذَّت بُردَن	verb	to take pleasure, to enjoy
اهانت		noun	insolence
کمانچه		noun	kamancheh
صفحه‌کلید		noun	keyboard
دیکته		noun	dictation
شیر آب		noun	tap, faucet
بلور		noun	crystal
چوب		noun	wood
بیم		noun	fear
کارشناس		noun	expert
شورا		noun	council
اوج		noun	acme
اندوه		noun	sorrow, sadness, melancholy
صندوقدار		noun	cashier
آتش‌بازی		noun	fireworks
پاتیناژ		noun	ice skating
نارنجک		noun	grenade
نارنج		noun	Seville orange, bitter orange, Citrus aurantium
کمربند		noun	belt
مروارید		noun	pearl, margarite
دخترک		noun	little girl
هرم		noun	pyramid
مفصل		noun	skeletal joint
کتاب‌فروشی		noun	bookshop
آلت		noun	tool, instrument, apparatus, utensil
هجرت		noun	Hegira, Hijra
سوت		noun	whistle
قدح	قَدَح	noun	goblet; cup
عکسی		adj	pictographic
گون		noun	colour
قاپو		noun	gate
سرای		noun	hall
ایجاد		noun	creation
عزیمت		noun	departure, heading off
وعظ		noun	sermon
حرص		noun	greed
کاهن		noun	fortuneteller
کهنه		adj	old, used
چکش	چَکُش	noun	hammer
خصومت		noun	hostility, enmity
خصمانه		adj	hostile; (adverbially) hostilely
طرب		noun	joy, mirth, cheerfulness
اسلاو		noun	Slav
عبرت		noun	lesson
نورانی		adj	luminous, lighting, glittering
جاودان		adj	eternal, everlasting, self-perpetuating, sempiternal living, immortal
حریف		noun	rival, opponent; match
خوی		noun	sweat
هم‌جنس‌گرایی		noun	homosexuality
دگرجنس‌گرایی		noun	heterosexuality
وقع		noun	regard, consideration
بندری		adj	of, or relating to, a port or harbour
نمایه		noun	index (alphabetical list)
غزال		noun	gazelle
تهدید		noun	threat
مساحت	مَساحَت	noun	area
المزده		adj	heartbroken
گنه		noun	crime
لرزان		adj	trembling
پگاه		noun	dawn
دلم		noun	pimple
بخاطر		prep	for the sake of, because of, by virtue of
خاطب		noun	preacher
آستانه		noun	threshold
تندپز		noun	microwave oven
چشم براه		adj	expectant, waiting (for something)
فرد		noun	individual
کنجکاو		adj	curious, inquisitive
فروهر		noun	faravahar, fravashi (Zoroastrian and Iranian symbol)
باری		adj	relating to cargo or cargo transport
مرید		adj	stubborn, perverse, unruly, disobedient, obstinate
کوبیده		adj	pounded
قرمه		noun	preserved meat
فر		noun	splendour, splendor
سیلی		noun	slap (in the face)
سقف		noun	ceiling, roof
جدر		noun	a yearling camel
آشغال		noun	garbage (any leftover waste or scraps)
خرج	خَرْج	noun	expense; expenditure; cost
وش		noun	boll
چرت		noun	nonsense
اسطرلاب		noun	astrolabe, an astronomical and navigational instrument for gauging the altitude of the Sun and stars
مرمر		noun	marble (stone)
مژده		noun	good news; joyful tidings
دهه		noun	decade
عبارت		noun	phrase (short written or spoken expression)
گنگ		noun	mute (a person unable to speak)
روباه		noun	fox
بردار		noun	vector
مشتق		adj	derived
انتگرال		noun	integral
ضرب		noun	tap; blow, stroke
ضرب داخلی		noun	scalar product, dot product
توان		noun	power, stamina
ضرب اسکالر		noun	scalar product
درباره		prep	من دنبال کتابی درباره شعر فارسی میگردم.
man donbâl-e ketâb-i dar-bâre-ye še'r-e fârsi mi-gardam.
I'm looking for a book 
خندیدن		verb	to laugh
گزیدن		verb	to bite
پای		noun	pie
سبزه		noun	grass
بیشه		noun	forest, wood, jungle
لفت		noun	lift (UK), elevator (US)
فرس		noun	horse
بعضی	بَعضی	pron	some
بشکن		noun	snapping (one's fingers)
بشگن		verb	snapping (one's fingers)
ماشاءالله		intj	mashallah; what God wills.
ارغمچین		noun	rope
نهر		noun	brook; creek; stream
مخ		noun	palm, palm tree
آماده		adj	ready
ظن		noun	opinion; thought; view
غوک		noun	frog
رفق		noun	friendliness
تجمع		noun	coming together, assembling, gathering (act of coming together)
حتی	حَتّی	adv	even (to such a degree)
ابجد		noun	abjad
عدو		noun	enemy, foe
احمر		adj	red
بوراب		noun	storm
بام		noun	roof
دعا کردن		verb	to pray
کفتر		noun	pigeon, dove
دخترباز		noun	womanizer
هست		verb	there is, there are
ژئولوژی		noun	geology
ژئوفیزیک		noun	geophysics
مسافرت		noun	trip, journey
ژئوپلیتیک		noun	geopolitics
نهج		noun	manner
نوک		noun	beak, bill (of bird)
کنار		noun	side
قطع		noun	cut, cutting, severing
انتقاد		noun	criticism
فروغ		noun	brightness, lustre
خلال		noun	zest (and other thinly sliced nuts or fruit skin)
زاغ		noun	rook (bird)
سرآشپز		noun	head cook
چلچله		noun	martin, swallow (bird)
خاده		noun	pole
خاج		noun	club (♣)
ازخ		noun	rotten and empty nut
چپر		noun	circle, ring
چاپار		noun	post, mail
درگر		noun	carpenter
باژ		noun	tribute, toll, duty, revenue, tax, impost
باژبان		noun	a revenue collector
باژدار		noun	a revenue collector
زیجک		noun	food made from animal intestines, sausages
خاگینه		noun	a kind of scrambled egg
شناختن	شِناخْتَن	verb	to know, to be acquainted with
افراشتگی		noun	exaltation
جانه		noun	vital spirit
جناس		noun	pun, play on words, wordplay
جاود		adj	eternal, perpetual
روانی		noun	course
شوی		noun	husband
زنخ		noun	chin
مجله		noun	magazine
کوفتن		verb	to break, bruise, knock, strike, smite, beat, thrash, shake, trample under foot, tread upon
نای		noun	reed
سزیدن		verb	to be worthy
پیراستن		verb	to adorn, decorate, ornament, embellish (especially by cutting, clipping, or taking away)
تحت		prep	under
باختن		verb	to lose (a game); to be defeated, to be bested
دلبند		adj	beloved
کوره		noun	forge, furnace
معرفت		noun	knowledge, learning
نعلبند		noun	farrier
افق رویداد		noun	event horizon
تعلم		noun	learning
زبان صوری		noun	formal language
طبق معمول		adv	as usual
عدد صحیح		noun	integer
رقم		noun	character, letter
مخرج		noun	denominator
چادر شب		noun	bedsheet
فقر		noun	poverty
عجانی		adj	perineal
قابل تردید		adj	questionable, doubtful, disputable
سرعت گری		noun	escape velocity
قهوه‌خانه		noun	coffeehouse
چایخانه		noun	teahouse
همایون		adj	blessed, sacred, fortunate
تفاوت		noun	difference
گلوله		noun	bullet
سیاه‌چاله فضایی		noun	black hole
روادید		noun	visa (permit)
خرچنگ		noun	crab (crustacean)
دستگیر کردن		verb	to arrest (to seize someone with the authority of the law)
گورخر		noun	zebra
گرایش جنسی		noun	sexual orientation
گرایش		noun	inclination
تمایل جنسی		noun	sexual orientation
تمایل		noun	inclination, tendency, propensity, bias, disposition
آبادان		noun	cultivated or inhabited place
رجولیت		noun	virility, manhood
کلانتر		noun	sheriff (all meanings)
مادری		adj	maternal; motherly
پیش‌انداز		noun	napkin, serviette
غو		noun	cry, clamor, thunder
کنسرت	کُنْسِرْت	noun	concert
باتلاق		noun	swamp, marsh
زبل		adj	quick-witted
تفرق		noun	dispersion
تفاضل		noun	difference
کتف		noun	shoulder blade
تفاهم		noun	mutual understanding
انزال		noun	ejaculation
آخیز		noun	cement
انزال کردن		verb	to ejaculate (in orgasm)
انباشتن		verb	to fill up
گشتن		verb	to rotate, turn, revolve, spin (to move around an axis)
گردیدن		verb	to rotate, turn, revolve, spin (to move around an axis)
دروند		adj	sinful, wicked
غر		noun	whore, prostitute
خور		noun	sun
بود		noun	being, dasein, existence
شمردن		verb	to count
گندیدن		verb	to rot, decay, go bad, spoil
انداختن		verb	to throw, to eject, to cast
انجامیدن		verb	to end
ارزیدن		verb	to cost
افروختن		verb	to kindle
ورزیدن		verb	to exercise
مقدماتی	مُقَدَّماتی	adj	elementary
غوغا		noun	noise
لاس		noun	flirting
لس		adj	lazy
لوند		adj	coquettish, flirtatious
غوره		adj	unripe, green (of grapes, dates, olives)
پوهنتون		noun	university
سولیتون		noun	soliton
بوی		noun	smell, scent
کتل		noun	hillock
داده‌ها		noun	data
پایگاه داده‌ها	پایْگاهِ دادِهها	noun	database
مدیریت داده‌ها		noun	data management
زبان‌شناسی محاسباتی		noun	computational linguistics
اطلاع‌رسانی		noun	information science
مخمر		noun	yeast (fungus)
زمین‌لرزه		noun	earthquake
زلزله‌شناسی		noun	seismology
سونامی		noun	tsunami
مفعول		noun	object
شکست دادن		verb	to defeat; to beat
پس‌لرزه		noun	aftershock
سنجد		noun	jujube (tree or fruit)
منگوش		noun	earring
مقعد		noun	anus
پوشش		noun	cover (lid)
گوشه		noun	corner
خدای		noun	lord, patron, master, owner
هیچ‌وقت		adv	ever
ورقه		noun	sheet (piece of paper)
بوره		noun	borax
پنبه		noun	cotton
منطق		noun	logic, dialectics
علم منطق		noun	logic
راست کردن		verb	to straighten
هیدرولوژی		noun	hydrology
ابرک		noun	little cloud
گمارا		noun	a fold for cattle
زمان		noun	time, epoch, period, age, season (a broad time period; not the precise time on a clock)
برز		noun	sown field
خاژغان		noun	kettle
گذشتن	گُذَشتَن	verb	to pass, to pass away (especially of time)
اومانیسم		noun	humanism (ethical system)
بیولوژی دریا		noun	marine biology
گرزه	گُرزه	noun	large wooden club; mace
تیلا		noun	rope
تف		noun	spittle, spit
وشم		noun	steam
ریاضیات		noun	mathematics
چاش		noun	lunch
سان		noun	kind, manner
تفت		noun	heat, warmth
تیلماچی		noun	interpreter
ترول		noun	troll
تجدید نظر کردن		verb	to revise
تربز		noun	watermelon
ویرایش		noun	edit, revision (a change to the text of a document)
چکاد		noun	top, crown of the head
برخاستن		verb	to stand, to get up (to rise to one's feet)
کین		noun	hatred, enmity, rancour, malice; revenge
سفارش دادن		verb	To order (to request some product or service)
آشفتن		verb	to agitate
ارزش		noun	value, worth
همدستی در جرم		noun	complicity
همدستی		noun	collaboration
همدستی کردن		verb	to abet
تنجیدن		verb	to strain
مجوز		noun	license, permission
پاراو		noun	old woman
هزاردستان		noun	nightingale
گوازه		noun	ox-goad
گاوزنه		noun	ox-goad
گرزمان		noun	the highest heaven; heaven
دژند		adj	acid, tart
دژن		adj	hot, spicy
یاتاق		noun	bed
هیدرات		noun	hydrate
خائن		noun	traitor
خوان		noun	table or large tray particularly such one as is fit for dining
دبیر		noun	high school teacher
ریدک		noun	beardless youth
شبان		noun	at night
پیکر		noun	face, countenance
انبارده		adj	filled, full, replete
انباردن		verb	to fill
تکیدن		verb	to attack; to raid
دستیار		noun	assistant, helper
کپی		noun	copy (both the activity and the result)
شبی		adj	nocturnal, belonging to the night
پازو		noun	beet, beetroot
زالو		noun	leech
شارستان		noun	city
داور		noun	referee, ref
ارس		noun	tear
زروک		noun	leech
ساگوارو		noun	saguaro
هنگام		noun	moment, time, event
دشنه		noun	dagger, poniard
رتیل		noun	tarantula
کارگیر		noun	a solid structure of stone
خلاص		adj	free, liberated
ورق		noun	leaf (of a tree or book)
درب		noun	gate
آبگینه		noun	glass (substance)
شل		adj	soft, limp
محاسبه		noun	computation, calculation
کاشتن		verb	to sow
آنان		pron	they, those people (specifically of humans)
شرمنده		adj	ashamed
باید		verb	Expresses an obligation or confident conjecture, equivalent to English must, have to, should, ought, etc.
دنیدن		verb	to walk with pomposity
فوق‌العاده		adj	extraordinary, out of the ordinary
حرکت	حَرَکَت	noun	motion
یاخته		noun	cell
گوینده		noun	speaker
آمیخته		adj	compound
درمانگاه	دَرْمانْگاه	noun	clinic
ورز		noun	gain, profit, acquisition
خزان		noun	autumn
بیور		noun	myriad, ten thousand
بازگشت		noun	return (act of returning)
برداشتن	بَرْداشتَن	verb	to pick up
تمیز کردن		verb	to clean
بایستن		verb	to be necessary; must, ought
بریدن		verb	to cut
هفده		num	seventeen
طلب کردن		verb	to request
آنچه		pron	what; used for the heads of relative clauses when it is not a human.
دزدیدن		verb	to steal
پانصد		num	five hundred
هنجار		noun	norm, convention
نجومی		adj	astronomical (relating to astronomy)
دس خوش		intj	well done; good job; bravo
قنطار		noun	kantar
سرسرا		noun	entry, entrance hall, foyer, hall, vestibule (room just inside the front door of a building)
ماشین حساب	ماشینِ حِساب	noun	calculator
نظریه اطلاعات		noun	information theory
چنین		adj	such as this
شکیبائی		noun	patience
کجا	کُجا	adv	where
پس		conj	then; so; therefore
توانستن		verb	to be able; can
برای		prep	for
دنبال		noun	rear; behind
جلو		noun	front
پرکار	پُرکار	adj	hard-working, prolific
باهوش		adj	intelligent; smart
قدیمی	قَدیمی	adj	old, ancient, not new, having existed for a long time (not of age; see also پیر (pir))
ژئودزی		noun	geodesy
جدی		adj	serious
نگاه کردن		verb	to look, to watch
تهی		adj	empty (devoid of content)
رونوشت		noun	copy (result of copying; an identical duplication)
پیژامه		noun	pyjamas (clothes for wearing to bed and sleeping in)
معادله		noun	equation (assertion)
توله		noun	whelp
توله‌خر		noun	foal of a donkey
نردبان		noun	ladder (climbing tool)
باردار		adj	pregnant
سیم		noun	wire
ژیرش		noun	action
دونسن		verb	to know (something)
دونستن		verb	to know (something)
نشستن		verb	to sit down, to sit, to take a seat
بیشتر		adj	more
سرچشمه		noun	root, source
آکندن		verb	To fill (to make full)
ایسلندی		adj	Icelandic
گشودن		verb	to open
چیدن		verb	to gather, to arrange, to lay out
پدرزن		noun	father-in-law (wife's father)
پدرشوهر		noun	father-in-law (husband's father)
پسرخاله		noun	cousin (maternal aunt's son)
پسردائی		noun	cousin (maternal uncle's son)
پسرعمو		noun	cousin (paternal uncle's son)
پسرعمه		noun	cousin (paternal aunt's son)
دخترخاله		noun	cousin (maternal aunt's daughter)
دختردائی		noun	cousin (maternal uncle's daughter)
دخترعمو		noun	cousin (paternal uncle's daughter)
دخترعمه		noun	cousin (paternal aunt's daughter)
مادرزن		noun	mother-in-law (wife's mother)
مادرشوهر		noun	mother-in-law (husband's mother)
صامت		noun	consonant
ناپدری		noun	stepfather
نامادری		noun	stepmother
گذاشتن		verb	to let, to permit, to allow (takes the subjunctive)
تنفس		noun	breathing
گالش		noun	galosh
مبتدی		noun	beginner (someone who just recently started)
تازه‌کار		noun	beginner (someone who just recently started)
دراییدن		verb	To speak, say, chatter, babble
درودن		verb	to reap, to mow, to harvest
برق انداز		noun	A musketeer, as posted in Mughal administration in India.
نگریستن		verb	to look
شوروی		noun	Soviet
سپنج		noun	guesthouse, inn
گام زدن		verb	to walk (move on the feet)
نسک		noun	One of the five parts (books) of the Avesta
آشامیدن		verb	to drink
مقاله		noun	article (story, report, opinion piece, academic, etc.)
آباژور		noun	lampshade
دانایی		noun	wisdom
دیوان		noun	divan (collection of poems)
خوردی		noun	broth, juicy meats
عروسی		noun	wedding (marriage ceremony)
باک		noun	dread, fear
دمر		adj	lying flat; prone, prostrate
پوست ختنه‌گاه		noun	prepuce
ختنه‌گاه		noun	glans penis
شریک		noun	partner, associate
پوزخند		noun	grin, sneer
خندق		noun	moat
کتابی		adj	belonging to or related to a book
سودمند		adj	useful; beneficial; profitable
مفید		adj	useful
جهد		noun	struggle, effort, exertion
خورشیدی		adj	solar
باد خورشیدی		noun	solar wind
باد ستاره‌ای		noun	stellar wind
ستاره‌ای		adj	stellar
وضوح		noun	clarity
فیلترشکن		noun	filter-break (software that enables an Internet user to gain access to filtered, or blocked, webpages.)
کایوت		noun	coyote
کایوتی		noun	coyote
خنده		noun	laughing; a laugh; laughter
آمبولانس		noun	ambulance (emergency vehicle)
کثیف		adj	dirty, unclean
گرفت		noun	eclipse
آزردن		verb	to annoy, to torment
بی‌جنس‌گرایی		noun	asexuality
دوجنس‌گرایی		noun	bisexuality
عروس		noun	bride
حرف اضافه		noun	preposition
آویختن	آویختَن	verb	to hang, to suspend
وزیدن		verb	to blow, to bluster
نهفتن		verb	to hide; to conceal
نواختن		verb	to caress; to fondle
گریختن		verb	to flee
گداختن		verb	to melt; to turn to liquid; to thaw
فهماندن		verb	to explain, to make understood, to make clear
فهموندن		verb	to explain, to make understand
فریفتن		verb	to deceive
ستدن		verb	to take; to get, receive, obtain
خشکاندن		verb	to dry
خشکوندن		verb	to dry
جویدن		verb	to chew; to gnaw
آشنا شدن		verb	to become acquainted, to become familiar, to get to know
آغاز کردن		verb	to begin, to start
کوچک شدن		verb	to shrink, to become small
یاد رفتن		verb	to forget
توضیح دادن		verb	to explain
شق		noun	alternative (one of two possibilities)
نعوظ		noun	erection
ژرفی		noun	depth
واحد نجومی		noun	astronomical unit
بزرگ‌تر		noun	older family member
رشت		adj	bright
وبگاه	وِبگاه	noun	website
ژولیدن		verb	to become disheveled, to become chaotic, to become messy
راست گفتن		verb	to tell the truth, to be truthful
شکایت کردن		verb	to complain
شناسایی کردن		verb	to identify
ستنبه		adj	strong, robust, powerful, bold
فرمیون		noun	fermion
کیلوگرم		noun	kilogram, kilogramme
گلئون		noun	gluon
کوارک سر		noun	top quark
کوارک ته		noun	bottom quark
کوارک مفتون		noun	charm quark
کوارک شگفت		noun	strange quark
کوارک پایین		noun	down quark
کوارک بالا		noun	up quark
شدنی	شُدَنی	adj	feasible, practicable, doable, possible
بلد بودن		verb	to know; to know how
برهنگی		noun	nudity, nakedness
سپردن	سِپَردن	verb	to traverse, to pass
به خاطر سپردن		verb	to commit to memory; to learn by heart
به فراموشی سپردن		verb	to forget
دروغ بافتن		verb	to lie, to spread falsehood
گزاف گفتن		verb	to exaggerate
گزاف	گَزاف	adj	extravagant, excessive, exorbitant
حشری شدن		verb	to get horny, to become sexually aroused
مجازات کردن		verb	to punish
مداخله کردن		verb	to interfere, to intrude, to meddle
طیف		noun	spectrum
دیسک		noun	disc
سیل		noun	flood
مرغ مگس‌خوار		noun	hummingbird
همبرگر		noun	hamburger
چیزبرگر		noun	cheeseburger
تمشک		noun	raspberry
احتیاج داشتن		verb	to need
آمریکایی		noun	American
تاجیکی		adj	Tajik
خاطره		noun	reminiscence, remembrance, memory
پورنوگرافی		noun	pornography
بهبود		noun	improvement, recovery
فاسق		adj	haram
ترخان		adj	free, exempted from tribute or taxes, not amenable to punishment
کارواژه		noun	verb
نیام		noun	sheath, scabbard
طوارق		noun	Tuareg
ترغای		noun	sparrow
چرک		noun	bread
چرکچی		noun	baker
یرکلی		adj	brave
تمر		noun	iron
تاغ		noun	Haloxylon shrub
جارچی		noun	crier
آرپا		noun	barley
ارخا		noun	back
اروق		noun	apricot
برک		noun	hat
بیدادی		noun	injustice, lawlessness, tyranny
آمیختن		verb	to mix, mingle
نشیمن		noun	living room
پذیرائی		noun	living room
روحی		adj	spiritual
روان‌شناسی		noun	psychology
بالو		noun	cherry
امان		noun	safety, security
خبره		noun	expert
انفورماتیک		noun	computer science
مجازی		adj	virtual, online
موفق باشی		intj	good luck
موفق باشید		intj	good luck
کلک		noun	trick
سنجاقک		noun	dragonfly
فرق		noun	difference
لس‌آنجلس		noun	Los Angeles (a large city in California, United States)
ق.ظ		adv	before noon (used after a time to indicate it is between midnight and noon, i.e., in the morning)
ب.ظ		adv	after noon (used after a time to indicate it is between noon and midnight, i.e., in the afternoon, evening or night as o
زیپ		noun	zipper, zip
فارسی‌زبان		adj	Persian-speaking
ساکت		adj	silent
سلمانی		noun	barber, hairdresser
مشخص		adj	specified, specific, defined; clear, obvious
غرب		noun	the west
غربی		adj	western
شمالی		adj	northern, of or pertaining to the north
نرمال		adj	normal
معتاد		adj	addicted
هروئین		noun	heroin
بارون		noun	baron
ایرونی		noun	colloquial-un form of ایرانی (irâni, “Iranian”)
زبون		adj	humbled, vanquished, helpless, abject
جناب آقای		pron	his Excellency (Used when addressing a male with high status in a formal way.)
سرکار خانم		pron	honored ma'am (Used when addressing a female with high status in a formal way.)
تهرانی		adj	Tehrani, Tehranian
مادرانه		adj	motherly, maternal
پدرانه		adj	fatherly, paternal
پسرانه		adj	especial to or designed for boys
آویزان		adj	hanging; hung (in a suspended, dangling position)
آروم		adj	colloquial-un form of آرام (ārām /ârâm)
املاک		noun	broken plural of ملک (milk /melk)
میرزا		noun	Mirza; a noble title.
خیابون		noun	colloquial-un form of خیابان (xiyâbân)
زندون		noun	colloquial-un form of زندان (zindān /zendân).
نون		noun	the name of the Perso-Arabic script letter ن
غلغله		noun	noise
یغما		noun	booty; plunder
زنونه		adj	colloquial-un form of زنانه (zanâne)
دیوونه		adj	colloquial-un form of دیوانه
خندان		adj	laughing
خندون		adj	colloquial-un form of خندان (xandân)
نالان		adj	complaining
وب		noun	web (World Wide Web)
ماسیدن		verb	to coagulate (as milk)
تحریم		noun	embargo; sanction
خوال		noun	food
اسم خاص		noun	proper noun
کوزه		noun	a pottery vase with a long neck
پرنده‌شناسی		noun	ornithology
مجانی		adj	free of charge, gratis
سندرم		noun	syndrome (attributive)
کانادایی		adj	Canadian (of or pertaining to Canada)
نشخوار		noun	chewing the cud, rumination
سلام رساندن		verb	Give one's regards
باسکی		adj	Basque
سمعک		noun	hearing aid
چندشوهری		noun	polyandry
سزیم		noun	caesium
روان‌گسیختگی		noun	schizophrenia
اسکیزوفرنی		noun	schizophrenia
شیزوفرنی		noun	schizophrenia
همچنین		adv	also, as well
خال‌کوبی		noun	tattoo
سالاد		noun	salad
درازا		noun	length
وغا		noun	war, battle, tumult
دانسته		adv	on purpose
از قصد		adv	on purpose
اکتینیم		noun	actinium
هیدروژن		noun	hydrogen
هلیم		noun	helium
آوا		noun	sound
لیتیم		noun	lithium
گرانش		noun	gravitation
پرو		noun	heifer
کوانتم		noun	quantum
زیست‌شیمی		noun	biochemistry
سارق		noun	thief, robber
نینجا		noun	ninja
درون‌همسری		noun	endogamy
برون‌همسری		noun	exogamy
بی‌خدایی		noun	atheism
دده		noun	sister (blood relative)
خزینه		noun	treasury
کلکین		noun	window
ار		conj	if
تغییرات		noun	broken plural of تغییر (taġyīr /taġyir)
زندگانی		noun	life, way of life, course of one's life
سخن		noun	speech
جزئیات		noun	detail, details
دوستان		noun	entourage, friends (plural of دوست)
ظل		noun	shadow, shade
نهایی		adj	final
فینال		noun	final
نقد ادبی		noun	literary criticism
شاویدن		verb	to go
مهندسی زلزله		noun	earthquake engineering
ککه		noun	human excrement
منش		noun	character, nature
صوری		adj	formal
دائم		adj	permanent
باشقیری		adj	Bashkir
درس خواندن		verb	to study
عملیات		noun	operation, a military campaign
مازندرانی	مازَندَرانی	adj	Mazanderani
شانسی		adj	random, by luck
انتقال‌دهنده عصبی		noun	neurotransmitter
قانون بقاء		noun	conservation law
قانون بقاء انرژی		noun	law of conservation of energy
آنتروپی		noun	entropy
جاذبه		noun	gravitation
پوزیترون		noun	positron
آریایی		adj	Aryan
دادگر		adj	just
فرآیند		noun	process
پروسه		noun	process
محاکمه		noun	trial, court of law, hearing
پمپ		noun	pump
الاستیک		adj	elastic
ارتجاعی		adj	elastic
مطلق		adj	absolute, unconditioned
زوجیت		noun	matrimony
اطاعت کردن		verb	To obey
نامه دبیریه		noun	libriscript
هام دبیریه		noun	similiscript
فوتوکپی		noun	photocopy
مرکب		adj	compound, composite
پلاک		noun	plaque, plate (various meanings)
ادبیات فارسی		noun	Persian literature
بزاق		noun	saliva
پلاستیک		noun	plastic
پادشاهی		noun	kingdom
کلاسیک		adj	classical
نهان		adj	hidden, secret, arcane
تنش		noun	tension
درجه‌بندی		noun	rating
برچسب		noun	tag, label (on a product)
رده‌بندی		noun	classification
شکلک		noun	making faces, grimace
نخبه‌گرایی		noun	elitism
نخبه‌گرا		noun	elitist
فیبر		noun	fiber, fibre
هیدرولیک		noun	hydraulics
ادبیات انگلیسی		noun	English literature
لودر		noun	loader
گریدر		noun	grader
اصطلاح ادبی		noun	literary term
ناخوشایند		adj	unpleasant
توپولوژی		noun	topology
نفوذ		noun	infiltration
برگردان		noun	translation (the act or result of translating)
شکارچی		noun	hunter
دبی		noun	discharge
کاروانسرا		noun	caravanserai
مریضی		noun	illness, sickness, disease
زرنگ		adj	clever, cunning, bright, sharp, shrewd
آمیزش جنسی		noun	sexual intercourse
موافق		adj	agreeing, in agreement, consenting
مقعدی	مَقعَدی	adj	anal (of or relating to the anus)
آمیزش جنسی دهانی		noun	oral sex
دهانی		adj	oral (of or relating to the mouth)
آمیزش جنسی گروهی		noun	group sex
آمیزش جنسی مقعدی		noun	anal sex
خودارضایی		noun	masturbation
جماع		noun	coitus, sexual intercourse
باکرگی		noun	virginity
بکارت		noun	virginity
دلگیر		adj	sad, upset
دلگیری		noun	sadness, grief, sorrow
هزینه		noun	cost (sum exchanged for a product or service)
استاندار		noun	governor-general
بومی		adj	native, indigenous, endemic
نارگیله		noun	narghile, hookah
گیتاریست		noun	guitarist
مفقود		adj	lost, missing
مفقود کردن		verb	to lose, to misplace
استمراری		adj	continuous, progressive
موندن		verb	to stay
پیشین		adj	old, ancient
انگیختن		verb	to provoke; to instigate
آسودن		verb	to rest
آواز خواندن		verb	to sing
برهنه‌گرا		noun	nudist
برهنه‌گرایی		noun	nudism
همنوع‌خواری		noun	cannibalism (in animals)
متفکر		noun	thinker, intellectual
