lafz	aeraab	zaban	maani_en
سلیم	سَلِيم	عربی	safe, secure
ہانم	هَانِم	عربی	lady
اختصار	اِخْتِصَار	عربی	abbreviation
جیش	جَيْش	عربی	an army, a military force
باکو	بَاكُو	عربی	Baku (the capital city of the Republic of Azerbaijan)
قبرص	قُبْرُص	عربی	Cyprus (an island and country in the Mediterranean Sea, normally considered poli
ربا	رِبًا	عربی	interest
کبریت	كِبْرِيت	عربی	sulfur
مشہور	مَشْهُور	عربی	famous
اعتماد	اِعْتِمَاد	عربی	confidence, trust, base, fundament
عنوان	عُنْوَان	عربی	title (of book) — and "anything that serves as an indication of another thing is
عظیم	عَظِيم	عربی	magnificent, grandiose
ارتعاش	اِرْتِعَاش	عربی	shaking, shivering, vibration, tremor
ماما	مَامَا	عربی	mum, mummy, mama
خنجر	خَنْجَر	عربی	dagger
ایمن	أَيْمَن	عربی	right-handed
رفیق	رَفِيق	عربی	friend, comrade, associate, colleague, companion, fellow
نعل	نَعْل	عربی	any covering for human or animal feet, a shoe (such as human footwear or a horse
عرض	عَرْض	عربی	breadth, width
نبض	نَبْض	عربی	pulsating vein or artery, pulse
مرض	مَرَض	عربی	disease, sickness, illness
ترکمانستان	تُرْكُمَانِسْتَان	عربی	Turkmenistan (a country in Asia)
وہران	وَهْرَان	عربی	Oran (a city in northwestern Algeria)
خسرو	خُسْرَو	عربی	a transliteration of a Persian male given name
لہذا	لِهٰذَا	عربی	therefore
الف	أَلِف	عربی	Name of the first letter of the Arabic alphabet (ا / ا).
جاہل	جَاهِل	عربی	ignorant, uneducated
سوری	سُورِيّ	عربی	Syrian
صنم	صَنَم	عربی	idol
کیک	كَيْك	عربی	cake
کرم	كَرَم	عربی	nobleness, kindness
محراب	مِحْرَاب	عربی	the prayer chamber of the imam in a mosque or instead, a symbolic niche in the w
قسم	قَسَم	عربی	oath
ماہر	مَاهِر	عربی	skilled, skillful, proficient, adept
استقلال	اِسْتِقْلَال	عربی	independence
سعودی	سُعُودِيّ	عربی	Saudi
اسلامی	إِسْلَامِيّ	عربی	of, relating to, associated with, or characteristic of Islam; Islamic; Islamitic
مسیحی	مَسِيحِيّ	عربی	Christian
مغربی	مَغْرِبِيّ	عربی	western, occidental
یونانی	يُونَانِيّ	عربی	Greek
عذرا	عَذْرَاء	عربی	virgin
مقدس	مُقَدَّس	عربی	sacred, holy
وفا	وَفَاء	عربی	loyalty, faithfulness, trustworthiness, honesty, reliability, integrity
اتہام	اِتِّهَام	عربی	accusation, charge
لحم	لَحْم	عربی	flesh, meat
سہیل	سُهَيْل	عربی	Canopus
اسفنج	إِسْفَنْج	عربی	sponge
ایام	أَيَّام	عربی	days (“A particular time or period of vague extent”)
مالک	مَالِك	عربی	owner
لفافہ	لِفَافَة	عربی	envelope, wrapping, covering, swaddling; wrap, bundle
نادر	نَادِر	عربی	rare, extraordinary
ظاہر	ظَاهِر	عربی	apparent, visible
یتیم	يَتِيم	عربی	orphan
صابر	صَابِر	عربی	patient
نتیجہ	نَتِيجَة	عربی	result
کنعان	كَنْعَان	عربی	Canaan
ہخامنش	هَخَامَنِش	عربی	Achaemenes
مقدار	مِقْدَار	عربی	amount, quantity
سطر	سَطْر	عربی	line, row
حمید	حَمِيد	عربی	praiseworthy
محکمہ	مَحْكَمَة	عربی	court
اسماعیل	إِسْمَاعِيل	عربی	Ishmael, Ismail
موسوعہ	مَوْسُوعَة	عربی	encyclopedia
قرض	قَرْض	عربی	loan, debt
تعداد	تَعْدَاد	عربی	quantity, amount, number
مکتب	مَكْتَب	عربی	maktab, elementary school
سلمان	سَلْمَان	عربی	a male given name, Salman
عضو	عُضْو	عربی	organ
تریاق	تِرْيَاق	عربی	antidote, counter-remedy, panacea, antitoxin, theriac, treacle
رام اللہ	رَامَ اللّٰه	عربی	Ramallah (a city in the West Bank, Palestine)
سابق	سَابِق	عربی	previous, preceding, prior
خلا	خَلَاء	عربی	empty space, void
جنازہ	جَنَازَة	عربی	funeral
بوسہ	بَوْسَة	عربی	a kiss
اول	أَوَّل	عربی	first
مستقبل	مُسْتَقْبَل	عربی	future
بعض	بَعْض	عربی	some, part
خصم	خَصْم	عربی	adversary, opponent
قاسم	قَاسِم	عربی	divider
ہدی	هُدًى	عربی	guidance
قوت	قُوت	عربی	food
عنبر	عَنْبَر	عربی	ambergris
افتخار	اِفْتِخَار	عربی	pride
حلقہ	حَلْقَة	عربی	ring, loop
قلعہ	قَلْعَة	عربی	fortress, fort, castle
صلیب	صَلِيب	عربی	cross (geometrical figure)
قدر	قَدَر	عربی	fate, destiny
عنصر	عُنْصُر	عربی	element
نصرانی	نَصْرَانِيّ	عربی	Christian
دفاع	دِفَاع	عربی	defence/defense
انتقام	اِنْتِقَام	عربی	revenge, vengeance
نصر	نَصْر	عربی	victory, triumph
ممنوع	مَمْنُوع	عربی	forbidden
غبار	غُبَار	عربی	dust
تکبر	تَكَبُّر	عربی	arrogance, pride, vanity, hauteur, haughtiness
تبسم	تَبَسَّمَ	عربی	to smile
میانمار	مِيَانْمَار	عربی	Myanmar (a country in Southeast Asia)
داعش	دَاعِش	عربی	ISIS, ISIL, IS
رسالہ	رِسَالَة	عربی	letter
عجول	عَجُول	عربی	fast, quick
مختار	مُخْتَار	عربی	chosen
اسطورہ	أُسْطُورَة	عربی	myth, fable, tale, legend, story especially full of embellishments
عائلہ	عَائِلَة	عربی	family
مارونی	مَارُونِيّ	عربی	Maronite
جسم	جِسْم	عربی	a body
میلاد	مِيلَاد	عربی	birth
واسع	وَاسِع	عربی	large in area, extensive, vast; broad; wide; open
فاکہہ	فَاكِهَة	عربی	fruit
قدیم	قَدِيم	عربی	old, ancient
تشکیل	تَشْكِيل	عربی	formation, forming, foundation, establishment
ابا	أَبَا	عربی	to father
اذان	أَذَان	عربی	call to prayer
مراد	مُرَاد	عربی	desire, wish
خالہ	خَالَة	عربی	female equivalent of خَال (ḵāl, “maternal uncle”):
طالبان	طَالِبَان	عربی	Taliban (a Deobandi Islamist and largely Pashtun religious political movement fo
ادنی	أَدْنَى	عربی	elative degree of دَنِيّ (daniyy, “near, low, mean”):
والد	وَالِد	عربی	father
والدہ	وَالِدَة	عربی	mother
مصباح	مِصْبَاح	عربی	lamp
ہدیہ	هَدِيَّة	عربی	gift, donation
قصیدہ	قَصِيدَة	عربی	poem
مسیح	مَسِيح	عربی	messiah, Messiah
دسمبر	دِسَمْبِر	عربی	December (Westernized calendar)
سریانی	سُرْيَانِيّ	عربی	Syriac
ایمان	إِيمَان	عربی	belief, faith
تاثیر	تَأْثِير	عربی	influence, impression
ارادہ	إِرَادَة	عربی	will, intention, desire
اشارہ	إِشَارَة	عربی	sign, signal
اصلاح	إِصْلَاح	عربی	correction, improvement, mending
احتیاج	اِحْتِيَاج	عربی	need, requirement
اختیار	اِخْتِيَار	عربی	choice
استخبار	اِسْتِخْبَار	عربی	intelligence
اضطراب	اِضْطِرَاب	عربی	disturbance
جلوس	جُلُوس	عربی	sitting, sitting down
ذوق	ذَوْق	عربی	taste
یحیی	يَحْيَى	عربی	John (understood to be John the Baptist)
مشاہدہ	مُشَاهَدَة	عربی	observation; viewing; inspection
مظاہرہ	مُظَاهَرَة	عربی	demonstration, protest
عیش	عَيْش	عربی	living, life
معاش	مَعَاش	عربی	livelihood, subsistence
تغییر	تَغْيِير	عربی	changing, alteration, modification, variation
قربان	قُرْبَان	عربی	sacrifice to God, gift to God, corban
قضا	قَضَاء	عربی	judgement
مکالمہ	مُكَالَمَة	عربی	conversation; discussion
محور	مِحْوَر	عربی	axis, pivot
ہود	هُود	عربی	Hud, a prophet of Islam, sometimes identified with Eber in the Bible
ہبہ	هِبَة	عربی	gift, donation
ہندسہ	هَنْدَسَة	عربی	geometry
صلہ	صِلَة	عربی	link, connection
یمن	يَمَن	عربی	only used in اليَمَن (al-yaman, “Yemen”)
ولید	وَلِيد	عربی	newborn child, baby
تفاح	تُفَّاح	عربی	apple, apples
واضح	وَاضِح	عربی	clear
اخیر	أَخِير	عربی	last, final
اخیرا	أَخِيرًا	عربی	finally, at last
عدم	عَدَم	عربی	non-existence, nothingness
فرح	فَرَح	عربی	happiness, gladness, mirth, joy, exultation
احمق	أَحْمَق	عربی	fool
جانب	جَانِب	عربی	side
لحظہ	لَحْظَة	عربی	moment, instant
دری	دَرِيّ	عربی	Dari
اقتصادی	اِقْتِصَادِيّ	عربی	economic
کفارہ	كَفَّارَة	عربی	penance, atonement
اعلی	أَعْلَى	عربی	highest part, top
ممکن	مُمْكِن	عربی	possible
امکان	إِمْكَان	عربی	possibility
خصوصا	خُصُوصًا	عربی	especially, particularly
یعقوب	يَعْقُوب	عربی	Jacob, Hebrew patriarch also known as Israel
طبیعی	طَبِيعِيّ	عربی	natural
آنسہ	آنِسَة	عربی	young woman
جواد	جَوَاد	عربی	goodness, generous, bountiful
دال	دَال	عربی	dalet; dal, name of the eighth letter of the Arabic alphabet (د (d)), representi
مراکش	مُرَّاكُش	عربی	Marrakech (the capital city of the Marrakesh-Safi region, Morocco)
معدہ	مَعِدَة	عربی	stomach, belly
حلق	حَلَقَ	عربی	to injure in the throat
ظلم	ظُلْم	عربی	wrong, wrongdoing, injustice, injuriousness, tyranny
قطرہ	قَطْرَة	عربی	a drop (of liquid)
مناسب	مُنَاسِب	عربی	appropriate, suitable, proper, adequate, convenient
نظیف	نَظِيف	عربی	clean, pure, cleanly
حسد	حَسَدَ	عربی	to envy
محبوب	مَحْبُوب	عربی	beloved, dear
نشاط	نَشَاط	عربی	briskness, liveliness, activity, agileness, promptness, quickness, energy
طعام	طَعَام	عربی	food
شبکہ	شَبَكَة	عربی	net, fishing net
ترتیب	تَرْتِيب	عربی	order, arrangement, array
حاضر	حَاضِر	عربی	present, before the eyes, ready (also applied to money)
خطبہ	خُطْبَة	عربی	speech, oration, harangue
سید	سَيِّد	عربی	master, lord, prince
کریم	كَرِيم	عربی	noble, noble-minded, beneficent, kind, gracious
جائزہ	جَائِزَة	عربی	prize
شرطی	شُرْطِيّ	عربی	policeman, police officer
رفیع	رَفِيع	عربی	elevated; high; noble; sublime; fine
اساس	أَسَاس	عربی	foundation, basis, base
ین	ـِينَ	عربی	Oblique form, i.e. genitive and accusative form, of ـُونَ (-ūna, plural suffix).
حل	حَلّ	عربی	a solution
تجربہ	تَجْرِبَة	عربی	trial, essay, experiment
اساسی	أَسَاسِيّ	عربی	fundamental, basic
آدمی	آدَمِيّ	عربی	human being, man
ضروری	ضَرُورِيّ	عربی	necessary, indispensable
نشر	نَشْر	عربی	spreading, publishing
بخیل	بَخِيل	عربی	stingy, miserly, cheap
قاری	قَارِئ	عربی	reader
لجنہ	لَجْنَة	عربی	committee, commission, council
اجنبی	أَجْنَبِيّ	عربی	foreign, from outside the land
شک	شَكّ	عربی	doubt, uncertainty, suspicion, scruple, scandal, hesitation
خصوصی	خُصُوصِيّ	عربی	particular, peculiar, special
تعجب	تَعَجُّب	عربی	astonishment
واقعہ	وَاقِعَة	عربی	event, incident
دینی	دِينِيّ	عربی	religious, related to religion
لقب	لَقَّبَ	عربی	to nickname, to title, to surname
مضر	مُضِرّ	عربی	hurtful, harmful, pernicious
ولی	وَلِيَ	عربی	to be a friend, assistant, helper
مبلغ	مَبْلَغ	عربی	sum, amount
شدید	شَدِيد	عربی	violent, strong, intense, severe, hard, difficult, acute, extreme
متعدد	مُتَعَدِّد	عربی	multiple
قومی	قَوْمِيّ	عربی	national
ممتاز	مُمْتَاز	عربی	excellent
سمین	سَمِين	عربی	fat, corpulent
مرکزی	مَرْكَزِيّ	عربی	central
عقل	عَقْل	عربی	understanding, reason, wisdom, sound judgment, sense
دعوی	دَعْوَى	عربی	assertion
اولی	أَوَّلِيّ	عربی	prime, primary, primordial, original, initial, first
میل	مَيْل	عربی	inclination, tendency
قاقم	قَاقُم	عربی	ermine, stoat
حمد	حَمْد	عربی	praise, eulogy, commendation
رحیم	رَحِيم	عربی	merciful
رحمن	رَحْمٰن	عربی	merciful, compassionate (said of God)
جوز	جَوْز	عربی	walnut (the fruit of any Juglans tree; walnut trees are usually شَجَر الْجَوْز (
جواز	جَوَاز	عربی	lawfulness
تقریبا	تَقْرِيبًا	عربی	approximately
حائل	حَائِل	عربی	partition, fence, barrier, obstacle, obstruction
صدف	صَدَف	عربی	shell(s), seashell(s)
الماس	أَلْمَاس	عربی	diamond
اختلاط	اِخْتِلَاط	عربی	mixture
ضرر	ضَرَر	عربی	damage, injury, hurt, harm, mischief
خلیج	خَلِيج	عربی	gulf
یاس	يَأْس	عربی	despair
تمرین	تَمْرِين	عربی	practice
حامی	حَامِيّ	عربی	A person from the lineage of Hām bin Nūh
لاؤس	لَاوْس	عربی	Laos (a country in Southeast Asia)
جسور	جَسُور	عربی	bold, daring; courageous
خطا	خَطَأ	عربی	mistake, error
اخلاق	أَخْلَاق	عربی	morals, ethics
اشفاق	إِشْفَاق	عربی	compassion, favours, tenderness
محال	مُحَال	عربی	impossible
مدد	مَدَد	عربی	help, assistance
انصاف	إِنْصَاف	عربی	fairness, impartiality, justice, equity, evenhandedness
شریف	شَرِيف	عربی	noble, honored, celebrated
غالب	غَالِب	عربی	triumphant, victorious
صفی	صَفِيّ	عربی	pure
وسیم	وَسِيم	عربی	handsome, pretty, goodly, elegant
حقیر	حَقِير	عربی	low, mean, vile
سامی	سَامِيّ	عربی	Semitic
عزم	عَزْم	عربی	firm resolution, resolve, determination
جلیل	جَلِيل	عربی	great, important
مجید	مَجِيد	عربی	glorious, glorified
غلیظ	غَلِيظ	عربی	thick
ارضی	أَرْضِيّ	عربی	earthly, terrestrial
واعظ	وَاعِظ	عربی	preacher
حملہ	حَمْلَة	عربی	attack
متکلم	مُتَكَلِّم	عربی	spokesman, speaker (بِـ (bi-) for)
سعد	سَعْد	عربی	good fortune, luck
دفن	دَفْن	عربی	burying, burial
المانی	أَلْمَانِيّ	عربی	German
قانونی	قَانُونِيّ	عربی	legal, canonical, according to law or rule
توفیق	تَوْفِيق	عربی	guidance and grace of God
کیمیائی	كِيمِيَائِيّ	عربی	chemical
انسانی	إِنْسَانِيّ	عربی	human
ابتدائی	اِبْتِدَائِيّ	عربی	initial
خارجی	خَارِجِيّ	عربی	outer, external, extraneous, foreign, nonresident
ذہنی	ذِهْنِيّ	عربی	mental
اخلاقی	أَخْلَاقِيّ	عربی	moral, ethical
بحران	بُحْرَان	عربی	crisis, panic
مجمع	مَجْمَع	عربی	a junction (place where two or more things meet)
ارادی	إِرَادِيّ	عربی	intentional
اتمام	إِتْمَام	عربی	completion, finalization
احساس	إِحْسَاس	عربی	feeling, sensation, emotion
الحاق	إِلْحَاق	عربی	annexation, incorporation, adding
امداد	إِمْدَاد	عربی	supply, provision, support
احتیاط	اِحْتِيَاط	عربی	precaution, caution, carefulness
انکشاف	اِنْكِشَاف	عربی	being or becoming uncovered
ثبوت	ثُبُوت	عربی	proof, evidence
تصویر	تَصْوِير	عربی	depiction
فراق	فِرَاق	عربی	parting, separation
نوال	نَوال	عربی	gift, donation, portion shared with someone
ابنہ	اِبْنَة	عربی	daughter
راہبہ	رَاهِبَة	عربی	nun
شقرا	شَقْرَاء	عربی	Shaqra (a town in Saudi Arabia)
صفرا	صَفْرَاء	عربی	bile
طوبی	طُوبَى	عربی	blessedness, beatitude
خفیہ	خَفِيَّة	عربی	secret
صبیحہ	صَبِيحَة	عربی	morning
اجل	أَجَل	عربی	fate, destiny
خطیر	خَطِير	عربی	great
میت	مَيِّت	عربی	dead
شکی	شَكِي	عربی	Shaki (a city in Azerbaijan)
تعدد	تَعَدَّدَ	عربی	to be numerous
تبرک	تَبَرَّكَ	عربی	to be blessed
ابدی	أَبَدِيّ	عربی	eternal, everlasting, endless
ادبی	أَدَبِيّ	عربی	literary
توجہ	تَوَجُّه	عربی	attention, regard
اقرا	أَقْرَأَ	عربی	to cause one to read or study, to cause one to know something by putting togethe
اردن	أُرْدُنّ	عربی	only used in الأُرْدُنّ (al-ʔurdunn, “Jordan”)
طبی	طِبِّيّ	عربی	medical
فرضی	فَرَضِيّ	عربی	hypothetical, supposed, conjectural
مذہبی	مَذْهَبِيّ	عربی	sectarian; doctrinal
واقعی	وَاقِعِيّ	عربی	real, actual
یوسف	يُوسُف	عربی	Joseph, a Hebrew patriarch
ازل	أَزَل	عربی	eternity (having no beginning to its existence)
اسیر	أَسِير	عربی	prisoner of war, captive
نثر	نَثْر	عربی	prose
نجیب	نَجِيب	عربی	noble, illustrious, distinguished, whiz
نسیم	نَسِيم	عربی	breeze, gentle wind
نصیر	نَصِير	عربی	supporter, defender, helper, ally
یقین	يَقِين	عربی	certainty
لیلی	لَيْلِيّ	عربی	related to night; nocturnal
عید الفطر	عِيد اَلْفِطْر	عربی	Eid al-Fitr (religious celebration)
عثمان	عُثْمَان	عربی	a male given name, Osman or Usman, equivalent to English Uthman
اطلس	أَطْلَس	عربی	satin
یسوعی	يَسُوعِيّ	عربی	Jesuit, a member of the Society of Jesus
ریحان	رَيْحَان	عربی	fragrant plant, aromatic herb
افلاطون	أَفْلَاطُون	عربی	Plato
بشیر	بَشِير	عربی	bringer of good news, herald, harbinger
عیب	عَيْب	عربی	fault, defect, deficiency, failing
اسہال	إِسْهَال	عربی	diarrhea
صیاد	صَيَّاد	عربی	hunter
فقہ	فِقْه	عربی	fiqh, jurisprudence
سلیمان	سُلَيْمَان	عربی	Solomon
مصطفی	مُصْطَفًى	عربی	chosen
طبلہ	طَبْلَة	عربی	drum
ایوب	أَيُّوب	عربی	Job (prophet)
مہدی	مَهْدِيّ	عربی	rightly guided
اسحاق	إِسْحَاق	عربی	Isaac (prophet)
یونس	يُونُس	عربی	Jonah, Jonas (prophet)
زکریا	زَكَرِيَّا	عربی	Zechariah, Zacharias, Zachary (father of John the Baptist), considered a prophet
الیسع	الْيَسَع	عربی	Elisha, Eliseus, Al-Yasa (prophet)
ذو الکفل	ذُو الْكِفْل	عربی	Dhu'l-Kifl (a prophet of Islam, sometimes identified with Ezekiel in the Bible)
لوقا	لُوقَا	عربی	Luke, one of the Four Evangelists
اشعیا	إِشَعْياء	عربی	Isaiah (a book of the Old Testament of the Bible, and of the Tanakh)
ارمیا	إِرْمِيَا	عربی	Jeremiah, Jeremias, Jeremy (prophet)
حزقیال	حِزْقِيَال	عربی	Ezekiel (a book of the Old Testament of the Bible)
کباب	كَبَاب	عربی	kebab
حوا	حَوَّاء	عربی	Eve, the first woman in Abrahamic religions
سارہ	سَارَة	عربی	Sarah, wife of Abraham and mother of Isaac
فاطمہ	فَاطِمَة	عربی	Fatima, daughter of Muhammad and wife of Ali, especially revered among Shia Musl
صلاح الدین	صَلَاح الدِّين	عربی	a male given name, equivalent to English Saladin
شفا	شِفَاء	عربی	healing, recovery
قیصر	قَيْصَر	عربی	Caesar (Roman cognomen, notably that of Gaius Iulius Caesar)
بہائی	بَهَائِيّ	عربی	Baháʼí
حیفا	حَيْفَا	عربی	Haifa (a port city in northern Israel)
اصفہان	أَصْفَهَان	عربی	Isfahan (a city in Iran, the seat of Isfahan County's Central District and the c
اوساکا	أُوسَاكَا	عربی	Osaka (the capital city of Osaka Prefecture, Japan)
یشوع	يَشُوع	عربی	Joshua
خاتون	خَاتُون	عربی	khatun, noblewoman
معروف	مَعْرُوف	عربی	known
طیارہ	طَيَّارَة	عربی	a kind of skiff, a festive ferryboat, also طَيَّار (ṭayyār)
بدر	بَدْر	عربی	full moon
قریشی	قُرَيْشِيّ	عربی	Qurayshi, Qurayshite, relating to the tribe of Quraysh
ہاشمی	هَاشِمِيّ	عربی	Hashemite, relating to the house of Hashim
ریب	رَيْب	عربی	doubt, suspicion, uncertainty
موسوم	مَوْسُوم	عربی	named; known; branded
موجود	مَوْجُود	عربی	existing
بنزین	بَنْزِين	عربی	petrol, gasoline
بخاری	بُخَارَى	عربی	Bukhara (a city in Uzbekistan)
صنوبر	صَنَوْبَر	عربی	pine, pine tree
قہر	قَهَرَ	عربی	to treat with oppression
عبرانی	عِبْرَانِيّ	عربی	Hebrew, Hebraic
لفظ	لَفْظ	عربی	expression, term, word
کمر	كَمَر	عربی	belt, girdle
حوض	حَوْض	عربی	basin, pool, tank, sink
رباعی	رُبَاعِيّ	عربی	consisting of four, quadripartite, fourfold, quadruple
رطل	رِطْل	عربی	rottol, a historical Middle Eastern and North African unit of dry weight equal t
جراح	جَرَّاح	عربی	surgeon
معبد	مَعْبَد	عربی	place of worship, temple
عفریت	عِفْرِيت	عربی	afreet, afrit, 'afrit, efreet, ifreet, ifrit; Supernatural being from Arabian fo
ثواب	ثَوَاب	عربی	remuneration; reward
ضمیر	ضَمِير	عربی	inner, innermost, heart, secrets of the mind
خادم	خَادِم	عربی	domestic servant or (male) manservant (female) maidservant
فضا	فَضَاء	عربی	vast and unlimited space, empty space
تسبیح	تَسْبِيح	عربی	Tasbih: glorification of God
تکرار	تَكْرَار	عربی	repetition, reiteration
استعارہ	اِسْتِعَارَة	عربی	metaphor
فعلا	فِعْلًا	عربی	indeed, in fact, actually, really, practically
فدیہ	فِدْيَة	عربی	ransom
جذب	جَذْب	عربی	attraction
مبارزہ	مُبَارَزَة	عربی	duel
بالفعل	بِٱلْفِعْلِ	عربی	truly, actually, as of now, being already effective
شاکر	شاكِر	عربی	thankful, grateful
جواز سفر	جَواز سَفَر	عربی	passport
صدقہ	صَدَقَة	عربی	alms; charitable gift; charity
طبقہ	طَبَقَة	عربی	layer; stratum; level
مقصود	مَقْصُود	عربی	aimed at, intended
خطہ	خِطَّة	عربی	plot, land, territory, region
فوری	فَوْرِيّ	عربی	instantaneous, prompt, immediate
سیخ	سِيخ	عربی	spit, brochette, skewer
علیہا السلام	عَلَيْهَا ٱلسَّلامُ	عربی	peace be upon her; a eulogy used after mentioning certain venerated women (see b
متنوع	مُتَنَوِّع	عربی	diverse, varied, diversified
بلغاری	بُلْغارِيّ	عربی	Bulgarian (of, from or relating to Bulgaria)
اثاث	أَثَاث	عربی	furniture
حافظہ	حَافِظَة	عربی	memory
مخمل	مُخْمَل	عربی	velvet
نعیم	نَعِيم	عربی	bliss, delight
ابریق	إِبْرِيق	عربی	pitcher, jug
وارث	وَارِث	عربی	heir, inheritor
مؤسسہ	مُؤَسَّسَة	عربی	foundation, establishment
حواری	حَوَارِيّ	عربی	an apostle (leading disciple) of Jesus
حجرہ	حُجْرَة	عربی	room, compartment, cell, chamber
ذریعہ	ذَرِيعَة f .	عربی	means, instrument, expedient
محفل	مَحْفِل	عربی	place or time of assembly, assembly, council, circle, quarter
محاسب	مُحَاسِب	عربی	accountant, bookkeeper
حبقوق	حَبَقُّوق	عربی	Habakkuk (a Jewish prophet of the Old Testament; author of the book that bears h
منحوس	مَنْحُوس	عربی	unfortunate, unlucky, ill-omened
سماوی	سَمَاوِيّ	عربی	sky blue
بیاض	بَيَاض	عربی	whiteness, white
حرف عطف	حَرْف عَطْف	عربی	conjunction
مجرم	مُجْرِم	عربی	criminal
ثریا	ثُرَيَّا	عربی	chandelier
کینیا	كِينِيَا	عربی	Kenya (a country in Africa)
موزمبیق	مُوزَمْبِيق	عربی	Mozambique (a country in Africa)
لاہور	لَاهُور	عربی	Lahore (the second largest city of Pakistan and the provincial capital of Punjab
سیرا لیون	سِيرَالِيُون	عربی	Sierra Leone (a country in Africa)
مرہم	مَرْهَم	عربی	ointment, cream, pomade
افریقی	إِفْرِيقِيّ	عربی	African
شلجم	شَلْجَم	عربی	turnip (Brassica rapa)
اسلوب	أُسْلُوب	عربی	method, manner, mode, style, technique
دہر	دَهْر	عربی	the course of time, fate
اصطلاح	اِصْطِلَاح	عربی	a technical term, jargon, designation
مشرک	مُشْرِك	عربی	polytheist, henotheist, pagan
نیل	نِيل	عربی	indigo (Indigofera)
حصہ	حِصَّة	عربی	share, quota, ration, contingent
عرش	عَرْش	عربی	throne
ہضم	هَضْم	عربی	digestion
فتیلہ	فَتِيلَة	عربی	fuse, wick
بحریہ	بَحْرِيَّة	عربی	marine, navy
غرض	غَرَض	عربی	object of will, intention, target, desire, interest
سندس	سُنْدُس	عربی	a kind of fine silk
حاصل	حَاصِل	عربی	conclusion, outcome, yield, result, bottom line, quotient, sum, product
فیروز	فَيْرُوز	عربی	turquoise
فیروزی	فَيْرُوزِيّ	عربی	turquoise-colored, turquoise
فاقہ	فَاقَة	عربی	poverty, destitution
مذکر	مُذَكَّر	عربی	masculine
مؤنث	مُؤَنَّث	عربی	feminine
سائمہ	سَائِمَة	عربی	cattle pasturing freely
مذکور	مَذْكُور	عربی	mentioned, aforementioned
مظلوم	مَظْلُوم	عربی	an oppressed person
عمار	عَمّار	عربی	developer, builder
تاریخی	تَارِيخِيّ	عربی	historical
محمدی	مُحَمَّدِيّ	عربی	pertaining to Muhammad, for example in comparison with other prophets
کلیم	كَلِيم	عربی	one who speaks with another person
نسرین	نِسْرِين	عربی	dog rose, Rosa canina
شمشاد	شَمْشَاد	عربی	box (Buxus sempervirens)
خیط	خَيْط	عربی	thread; string; cord
مکروہ	مَكْرُوه	عربی	disliked, hated
بلغم	بَلْغَم	عربی	phlegm
ادہم	أَدْهَم	عربی	shady, darkened much, almost black
زرشک	زِرِّشْك	عربی	barberry (Berberis spp.)
نقارہ	نَقَّارَة	عربی	nagada, naqqara, naqareh, nagara, naker; a kind of small drum
لیلۃ القدر	لَيْلَةُ الْقَدْر	عربی	Laylatul Qadr: a night during Ramadan that commemorates the initial revelation o
مشعل	مَشْعَل	عربی	torch
شعلہ	شُعْلَة	عربی	a flame
سفیر	سَفِير	عربی	ambassador or mediator
استبداد	اِسْتِبْدَاد	عربی	tyranny, authoritarianism, despotism
حمزہ	حَمْزَة	عربی	lion
حیدر	حَيْدَر	عربی	lion
استفسار	اِسْتِفْسَار	عربی	a question, query, inquiry
دیوث	دَيُّوث	عربی	cuckold, wittol
فالج	فَالِج	عربی	Bactrian camel
آئس کریم	آيِس كِرِيم	عربی	ice cream
درزی	دَرْزِيّ	عربی	tailor (more widespread as تَرْزِيّ (tarziyy) from Ottoman)
طاعون	طَاعُون	عربی	epidemic disease, plague, pestilence, pest
خلل	خَلَل	عربی	gap, breach, interstice, interspace, chink
خلیل	خَلِيل	عربی	a close friend, an intimate
وقار	وَقَار	عربی	dignity, grandeur
وفد	وَفْد	عربی	delegation, despatch, mission
عمرہ	عُمْرَة	عربی	umrah (a minor hajj, a lesser pilgrimage to Mecca, other than at the time of the
حوریہ	حُورِيَّة	عربی	maiden (celestial, heavenly), houri
طاہر	طَاهِر	عربی	pure (substance, creature etc)
میراث	مِيرَاث	عربی	inheritance, the property conceived by the law of succession
کردستان	كُرْدِسْتَان	عربی	Kurdistan (a cultural region in West Asia inhabited mostly by the Kurds, encompa
ناسور	نَاسُور	عربی	canker sores, ulcers
تبریز	تَبْرِيز	عربی	Tabriz (a city in East Azerbaijan Province, Iran)
اسطوری	أُسْطُورِيّ	عربی	legendary, incredible
مطالعہ	مُطَالَعَة	عربی	a reading, perusal, study
بواب	بَوَّاب	عربی	doorman, doorkeeper, gatekeeper
نذیر	نَذِير	عربی	bringer of bad news, herald, legate, apostle, warner
بدیع	بَدِيع	عربی	creator, originator, inventor
دایہ	دَايَة	عربی	midwife, wet nurse
وعدہ	وَعْدَة	عربی	promise, vow
عتیق	عَتِيق	عربی	antique, ancient, archaic, old
تحفہ	تُحْفَة	عربی	masterpiece, curiosity, rarity
کشمیر	كَشْمِير	عربی	Kashmir (a contested geographic region of South Asia in the northern part of the
دونمہ	دُونْمَة	عربی	Dönmeh, a group of Sabbatean crypto-Jews
طالب علم	طَالِب عِلْم	عربی	student; seeker of knowledge
شریر	شَرِير	عربی	evil
عطیہ	عَطِيَّة	عربی	instance noun of عَطَى (ʕaṭā) an instance of giving, a gift
وسمہ	وَسْمَة	عربی	woad
